Date,Close,High,Low,Open,Volume,Ticker,Return_1
,QQQ,QQQ,QQQ,QQQ,QQQ,,
2020-01-02,209.09109497070312,209.09109497070312,206.98237810189403,207.38864140473768,30969400,QQQ,
2020-01-03,207.17581176757812,208.42363405080076,206.30524975214155,206.32459983864655,27518900,QQQ,-0.00916004195871356
2020-01-06,208.5106964111328,208.53971416226253,205.29927562117845,205.55076771756657,21655300,QQQ,0.006443245628752425
2020-01-07,208.48167419433594,209.07172638765445,207.823918836429,208.58807753279638,22139300,QQQ,-0.00013918814380464717
2020-01-08,210.04873657226562,211.0063668227083,208.12382316554053,208.45270091465605,26397300,QQQ,0.007516547360747694
2020-01-09,211.82855224609375,212.23481555419926,210.59041223287892,211.78018440374456,23547000,QQQ,0.008473346247506619
2020-01-10,211.286865234375,212.67977651934757,210.90961965801108,212.66044118912976,21898500,QQQ,-0.002557195458190331
2020-01-13,213.7244110107422,213.75342875921388,211.8188334755506,212.15739355410795,22756900,QQQ,0.011536664968091026
2020-01-14,212.8828887939453,213.97593996535093,212.55401110407198,213.61802976421376,24418100,QQQ,-0.003937417409724753
2020-01-15,212.9699249267578,213.96624033996494,212.2734694278453,212.9989426758966,25742100,QQQ,0.0004088451322019626
2020-01-16,215.01092529296875,215.04962546532127,213.57932887153916,214.03395995803893,18805000,QQQ,0.009583514512262026
2020-01-17,216.07498168945312,216.249088204242,214.85617704676014,215.97824600804194,24325200,QQQ,0.0049488480412542835
2020-01-21,215.9781951904297,216.51987945537667,215.3784754342083,215.47519633306925,21146300,QQQ,-0.0004479301502963162
2020-01-22,216.54891967773438,217.78705948606583,216.2780775171488,217.07126867299996,20736400,QQQ,0.0026425097533639974
2020-01-23,217.24537658691406,217.34211225623815,215.41718461109923,216.4231824368227,26496100,QQQ,0.0032161643208201696
2020-01-24,215.4171905517578,218.49320485164415,214.42087512136544,218.26104809473856,37436500,QQQ,-0.008415304683940361
2020-01-27,210.96762084960938,212.1090249782795,210.07769403362067,210.55167518998525,42264400,QQQ,-0.02065559248429316
2020-01-28,214.2080841064453,214.70141540595148,211.89624307087365,212.4572775378892,26731900,QQQ,0.015360002846815712
2020-01-29,214.55628967285156,215.6396583191723,213.6083421073209,215.39783390634778,28924500,QQQ,0.0016255482040221647
2020-01-30,215.3204803466797,215.41720126368983,212.50564041336628,213.17307820784183,39568100,QQQ,0.0035617258062830004
2020-01-31,211.9058837890625,216.2490403920171,211.1513781124189,216.22002264596804,52015800,QQQ,-0.01585820611267197
2020-02-03,215.10763549804688,215.60095193870563,212.7957949266791,212.94088365634656,25408600,QQQ,0.015109310094341133
2020-02-04,220.03118896484375,220.408434443102,217.30340261452238,218.04822590844415,30691200,QQQ,0.02288878986279208
2020-02-05,220.75669860839844,222.72031190390132,219.4315053844817,222.6816264873473,38534800,QQQ,0.0032973036548495926
2020-02-06,222.66226196289062,222.72029746385527,220.52452753201283,221.30803631461868,22467100,QQQ,0.008631961641501373
2020-02-07,221.70462036132812,222.90407477131217,221.06620036441126,221.66593494929873,25884900,QQQ,-0.004300870713880078
2020-02-10,224.384033203125,224.3937008659345,220.91143824152937,220.96947373796752,21478900,QQQ,0.012085507453250433
2020-02-11,224.4227752685547,226.36705344879994,223.83272297282664,225.62222995030518,30198000,QQQ,0.00017265963569967901
2020-02-12,226.6088409423828,226.71524428194877,225.18691211354306,225.7479465621825,24471300,QQQ,0.009740837003785252
2020-02-13,226.3186492919922,227.247246840018,224.76129936852772,225.03214155001788,22773200,QQQ,-0.0012805839753816661
2020-02-14,226.9667205810547,227.1795272453775,225.9123696822313,226.67652833336078,23438500,QQQ,0.002863534627349118
2020-02-18,227.05377197265625,227.47938529782508,225.62217559146254,225.86400000260022,24394500,QQQ,0.00038354253601013966
2020-02-19,229.2301788330078,229.7041599658132,228.1371425925475,228.40798473706772,22230500,QQQ,0.009585424815640842
2020-02-20,227.1021270751953,229.2011610750209,224.29696996717524,228.7271947020283,42604000,QQQ,-0.009283471175768554
2020-02-21,222.73963928222656,226.35732313278166,221.8207094448852,225.97040996751934,66017200,QQQ,-0.01920936562397013
2020-02-24,214.15000915527344,216.91648080520974,213.05695817434864,214.43051895721354,84522600,QQQ,-0.038563545108688424
2020-02-25,208.32688903808594,216.66500477294537,207.71750155851774,215.9491992022665,97743000,QQQ,-0.027191780846319458
2020-02-26,209.40061950683594,213.07635402674717,207.8722872416173,209.62310862352598,79537700,QQQ,0.005154065678740549
2020-02-27,198.91510009765625,209.34256820989546,198.77967900891775,204.0030807285931,121822600,QQQ,-0.05007396555881438
2020-02-28,199.06982421875,200.39501704243753,191.68933972756324,192.14397072367862,148173700,QQQ,0.0007778399981590578
2020-03-02,209.3425750732422,209.48767859008535,199.20529889303006,202.0491566095667,112933900,QQQ,0.051603757097830494
2020-03-03,202.6295166015625,212.42824695501133,200.83034230214943,210.01000272245565,131953500,QQQ,-0.032067334938108094
2020-03-04,211.08367919921875,211.1900825234662,204.4576848688237,206.3439269586459,73086200,QQQ,0.041722266032346855
2020-03-05,204.67051696777344,209.28453113328266,203.2292528398632,205.73455034255892,78705500,QQQ,-0.030382084753187488
2020-03-06,201.21730041503906,202.31033693543637,196.27440787193828,197.97684675347477,89828400,QQQ,-0.016872076173424122
2020-03-09,187.23985290527344,194.58164008347953,185.82759154245124,187.15278488086693,116424000,QQQ,-0.06946444207796831
2020-03-10,197.43515014648438,197.61893908595363,187.34622664232916,194.53325681118343,100599200,QQQ,0.05445046598262837
2020-03-11,188.83583068847656,194.18498501008835,186.42725445253583,192.83077433111933,89168800,QQQ,-0.04355515951251665
2020-03-12,171.521240234375,184.5410593893439,171.15366237455717,176.135239770442,137820700,QQQ,-0.09169123460825357
2020-03-13,186.05003356933594,188.12005002905872,172.30474170298456,180.95238538605722,134882000,QQQ,0.08470550536544685
2020-03-16,163.7634735107422,178.64049937009347,163.62805244798415,168.45485763898054,92054400,QQQ,-0.11978799267611062
2020-03-17,176.18362426757812,178.36004436162904,164.22782262720008,169.73174958216686,121257100,QQQ,0.07584200854179635
2020-03-18,170.82476806640625,173.35908314432493,161.34524830135413,165.99794755927562,114156300,QQQ,-0.030416312659303335
2020-03-19,171.85012817382812,177.48947603642236,166.01732370602542,169.9445503549494,120896500,QQQ,0.006002408895548816
2020-03-20,165.1177215576172,176.8897333030299,164.53735176846763,175.79669689155844,118983900,QQQ,-0.03917603488430943
2020-03-23,165.23692321777344,168.8720190623182,159.87635493774133,165.68282002494158,124639800,QQQ,0.0007219192405987229
2020-03-24,178.0325164794922,178.19730577063214,172.4974688691545,174.3974194333963,94881800,QQQ,0.07743785718434637
2020-03-25,176.71412658691406,183.70319582089266,174.46520688800348,178.76916267704485,88754900,QQQ,-0.007405332007032528
2020-03-26,186.0199432373047,186.8148245335888,177.98396549070867,178.23599344767527,79887600,QQQ,0.05266028715487958
2020-03-27,179.62220764160156,184.6725592419392,179.00181853547824,181.20225259507205,58845000,QQQ,-0.03439274028560246
2020-03-30,186.1557159423828,186.59193937245706,180.63037200431862,181.3283117429421,49356900,QQQ,0.036373610961387914
2020-03-31,184.56594848632812,189.2673455732761,183.4027206395172,185.84550947169134,62659300,QQQ,-0.008539987332684129
2020-04-01,176.72386169433594,181.90993898775304,175.31829390556996,179.10849167673106,53715400,QQQ,-0.042489347879753114
2020-04-02,180.31045532226562,184.27514472095038,175.42489265853268,175.68662372000315,56465300,QQQ,0.020294902983351015
2020-04-03,177.75137329101562,181.33801379113135,175.73510458968573,179.86458381876605,47487600,QQQ,-0.014192643608359812
2020-04-06,190.45965576171875,191.59380403810704,183.39303502691644,184.64350165229487,64763500,QQQ,0.0714947076661796
2020-04-07,190.38209533691406,196.4502919410208,189.9943576663375,196.1691695572954,69904500,QQQ,-0.0004072275805313552
2020-04-08,194.42433166503906,195.00593816018434,190.15914341108822,192.07846999018204,45940400,QQQ,0.021232229432980976
2020-04-09,194.7054443359375,196.99313210889025,192.93151563650326,196.1497945337267,68252600,QQQ,0.0014458718643444168
2020-04-13,196.80899047851562,197.18703996196848,192.66013442735462,193.87183338601724,42853900,QQQ,0.010803735610745102
2020-04-14,205.36846923828125,205.98885862083046,200.09515209098805,200.88033078548398,63959600,QQQ,0.04349129955371622
2020-04-15,203.0128631591797,205.3393338045499,200.77364607155448,202.0919749998906,47036000,QQQ,-0.011470144797975035
2020-04-16,206.71583557128906,207.80151306946104,203.2649194167453,205.20363768705047,64657400,QQQ,0.0182400876204869
2020-04-17,208.69329833984375,209.87591753565926,205.58166414738676,209.54633901649623,62863200,QQQ,0.009566092327129683
