Date,Open,High,Low,Close,Volume,Ticker
2024-01-02,137.86423038369782,137.87392083288088,134.55796747906058,135.96385192871094,8495800,QCOM
2024-01-03,134.66464335059973,134.66464335059973,132.8224516768812,133.4138946533203,8133300,QCOM
2024-01-04,131.31957161589284,133.1520723965267,130.8347828930312,132.02735900878906,6770300,QCOM
2024-01-05,132.01767627560977,133.86957285586635,131.7171096170026,132.57032775878906,6827300,QCOM
2024-01-08,132.82243751646365,134.91671383759726,132.48307944689333,134.8003692626953,7729400,QCOM
2024-01-09,133.3557029226373,136.6619662462317,132.9678777820655,135.63421630859375,5856900,QCOM
2024-01-10,135.6342104233299,135.76995069609825,133.59809153722466,135.0718536376953,5652500,QCOM
2024-01-11,134.77128311896982,135.69237885762956,131.89163653350892,134.8003692626953,7374900,QCOM
2024-01-12,137.79634031768092,138.3199204175054,134.9263993952579,135.93475341796875,6546600,QCOM
2024-01-16,135.74084494249843,136.9334210805828,133.7822943229891,136.82676696777344,7483000,QCOM
2024-01-17,135.37241967164707,135.3821249161707,133.17148917346952,135.08155822753906,6584700,QCOM
2024-01-18,138.7950234124628,141.21896734069009,137.99997749718568,140.8699188232422,12893000,QCOM
2024-01-19,142.77997946135332,148.1223610348585,142.2758098059025,147.33700561523438,16193900,QCOM
2024-01-22,148.10297000405652,149.86760823741776,147.2497370301606,148.2193145751953,10456100,QCOM
2024-01-23,148.21931582615264,149.06285835776617,146.80374088341898,148.8301544189453,6232300,QCOM
2024-01-24,150.08089631610324,151.56436351793772,149.2179729236827,149.67367553710938,8331900,QCOM
2024-01-25,152.80544317148343,153.17387261723695,148.99499532343563,149.77066040039062,7740900,QCOM
2024-01-26,147.57938021893912,148.3259441529826,145.80505182977961,146.13470458984375,7744700,QCOM
2024-01-29,145.8244437322945,146.638900040709,143.90468450837173,145.0875701904297,10770700,QCOM
2024-01-30,143.4974759445152,144.27314093556356,141.1414096233107,141.53892517089844,9132800,QCOM
2024-01-31,140.91838458437226,145.59175504624196,139.94880712369334,143.991943359375,21184200,QCOM
2024-02-01,136.58437371743992,139.53189751665926,135.8281044730064,136.81707763671875,22810600,QCOM
2024-02-02,136.3710865550156,137.81576253719356,135.02337425282616,137.37945556640625,10442700,QCOM
2024-02-05,137.5442728705371,140.2493877457926,136.91405337612306,139.64825439453125,8032600,QCOM
2024-02-06,140.10395057550306,140.40451723728677,138.09691802295444,139.71612548828125,7286300,QCOM
2024-02-07,140.74387272736953,141.50983243881848,139.2604203435598,141.45166015625,7361900,QCOM
2024-02-08,142.38247192279687,144.08892311815603,141.83949605672024,143.6719970703125,9448700,QCOM
2024-02-09,144.46703414411735,148.73316883188457,143.83681474521214,146.40618896484375,11981500,QCOM
2024-02-12,145.80508477064754,150.05182461430533,145.67903494790784,148.4423370361328,11806300,QCOM
2024-02-13,145.43662624131485,146.64859812665915,143.8950015538558,145.47540283203125,8976300,QCOM
2024-02-14,146.70678113489905,149.69308185404782,146.45469629036728,149.25677490234375,8715100,QCOM
2024-02-15,150.28451361997122,152.3884950353014,149.79003441733448,151.2346954345703,9372400,QCOM
2024-02-16,152.67936361522698,152.96053456865442,147.95752612530833,148.04478454589844,8429100,QCOM
2024-02-20,147.26912808782055,148.2483960514318,145.31057736601926,147.33700561523438,8745500,QCOM
2024-02-21,145.2718107625267,147.42427417629756,144.37009591885416,147.38548278808594,9760300,QCOM
2024-02-22,150.06152521055614,150.77900314649872,147.68606311412037,150.04212951660156,11407500,QCOM
2024-02-23,150.96321006267914,152.13640531831877,149.6348936547503,150.19725036621094,5953300,QCOM
2024-02-26,151.2540981456048,152.68906878040139,151.05048035002463,152.2527618408203,6307600,QCOM
2024-02-27,152.9508602419294,154.35674474641,152.6987754021276,153.484130859375,6021400,QCOM
2024-02-28,152.0223748568846,152.54859961178641,151.0088989005184,151.87620544433594,5211000,QCOM
2024-02-29,152.87016805988372,154.1662578779614,152.19775910684777,153.76670837402344,8321400,QCOM
2024-03-01,155.32593889717342,159.81839561253435,154.0396034452329,158.9315948486328,10405700,QCOM
2024-03-04,160.9098245770399,163.55073250961033,160.52002958177292,162.3131103515625,11865100,QCOM
2024-03-05,160.52978669135317,161.36785940497424,156.14452560444155,157.3334197998047,9608800,QCOM
2024-03-06,160.61749252101384,164.93453101058736,160.13998099246066,163.6092071533203,12230500,QCOM
2024-03-07,165.2756130561313,173.06187771872118,165.10993456270353,171.23956298828125,14495100,QCOM
2024-03-08,170.362521548199,170.995942178314,166.19163747748888,166.22088623046875,11318000,QCOM
2024-03-11,164.69091080135397,167.59492388154658,163.83334390395734,166.75685119628906,7256300,QCOM
2024-03-12,168.50120650048817,169.46595431948577,166.23061421915162,168.6668701171875,7642200,QCOM
2024-03-13,166.8543108125414,167.12717030918228,164.30111914980424,164.93453979492188,8730500,QCOM
2024-03-14,165.27560914110356,165.61667605132928,162.4592978654422,164.15492248535156,8151000,QCOM
2024-03-15,162.83935677766485,164.46677399919668,161.62122877923747,162.93679809570312,16414600,QCOM
2024-03-18,166.55219477364912,167.08817402260854,162.1084665817771,162.66392517089844,6653700,QCOM
2024-03-19,161.85509801332586,162.2156740082088,159.45783046649782,159.9158477783203,7404400,QCOM
2024-03-20,159.91587014712437,163.88208768781425,159.6527503021026,163.39483642578125,5995800,QCOM
2024-03-21,166.38654803582264,168.51095616746662,165.30484975813664,166.49374389648438,8497500,QCOM
2024-03-22,165.2268838685606,167.51695557251267,164.98325827007253,165.7628631591797,5645500,QCOM
2024-03-25,163.59946341744268,164.46676993610745,162.71266268776125,163.24864196777344,5682500,QCOM
2024-03-26,163.76512779699007,165.1001912981693,162.74189732489427,162.81011962890625,5289900,QCOM
2024-03-27,165.12941418507836,165.1586480649295,162.71265260912443,164.8175811767578,6309700,QCOM
2024-03-28,164.7883788409639,165.55822927395195,163.6969259286012,164.9832763671875,5324000,QCOM
2024-04-01,163.97952244003733,168.39401710707423,163.92105467539736,167.341552734375,6679100,QCOM
2024-04-02,166.1234201656637,167.02970023208889,164.96375996647149,166.6788787841797,7436300,QCOM
2024-04-03,165.6654002337031,169.52443609947346,165.01248544067857,169.4757080078125,6943200,QCOM
2024-04-04,170.53793210503792,171.46370647680547,165.09046687110305,165.43153381347656,9031200,QCOM
2024-04-05,165.84080320538067,167.84829054203257,165.3828007798689,167.15638732910156,5863300,QCOM
2024-04-08,168.5206909481957,169.94347097844295,167.9652323188688,169.19309997558594,4812000,QCOM
2024-04-09,170.80103011171997,171.50267298945172,168.94946673503446,171.0933837890625,5028500,QCOM
2024-04-10,168.02370035364046,169.28081676419282,165.7336286582375,166.50347900390625,6177400,QCOM
